Depth ice/snow [m],Depth ref [m] (For EDC96 depth levels the co...),Gas age,CH4 [ppbv],CH4 std dev [±]
99.34,99.53,0,907,10
102.575,102.765,0.148,761.7,10
104.775,104.965,0.212,682.7,10
106.625,106.815,0.28,675,10
109.83,110.02,0.4,684.3,10
113.025,113.215,0.513,644.3,10
115.225,115.415,0.572,685,10
118.475,118.665,0.677,666.7,10
120.85,121.04,0.768,679.5,10
121.15,121.34,0.775,643.3,10
124.575,124.765,0.874,647,10
126.775,126.965,0.951,623.7,10
129.175,129.365,1.029,634.7,10
131.83,132.02,1.116,643.7,10
134.475,134.665,1.201,628.7,10
137.775,137.965,1.305,620,10
140.725,140.915,1.402,631.3,10
143.38,143.57,1.489,631.7,10
146.025,146.215,1.571,623.3,10
148.775,148.965,1.673,608,10
150.625,150.815,1.734,613,10
153.83,154.02,1.855,613.3,10
157.575,157.765,1.982,603.7,10
159.775,159.965,2.069,608.7,10
162.045,162.235,2.134,601.7,10
165.275,165.465,2.262,597,10
168.09,168.28,2.366,591.7,10
170.4,170.59,2.456,596.5,10
173.045,173.235,2.552,591.7,10
176.275,176.465,2.657,580,10
178.475,178.665,2.741,578.3,10
180.78,180.97,2.804,577,10
185.275,185.465,2.977,572.7,10
187.275,187.465,3.04,576,10
189.475,189.665,3.133,567.7,10
192.33,192.52,3.23,581.3,10
195.725,195.915,3.363,572.7,10
201.025,201.215,3.531,577.7,10
203.33,203.52,3.621,578,10
203.465,203.655,3.626,580.7,10
205.625,205.815,3.714,569,10
209.275,209.465,3.842,569.3,10
212.025,212.215,3.946,567.7,10
214.33,214.52,4.036,575.7,10
214.47,214.66,4.04,563,10
215.98,216.17,4.097,570.3,10
220.38,220.57,4.249,577.3,10
220.52,220.71,4.257,567.7,10
222.475,222.665,4.331,569.7,10
225.225,225.415,4.447,561.7,10
227.625,227.815,4.526,561.7,10
231.4,231.59,4.667,563,10
233.475,233.665,4.737,563.3,10
236.225,236.415,4.843,567.7,10
240.145,240.335,4.984,561,10
241.85,242.04,5.051,563,10
244.475,244.665,5.17,558.3,10
247.775,247.965,5.282,553.7,10
250.595,250.785,5.387,565,10
252.85,253.04,5.47,566,10
256.025,256.215,5.58,568.3,10
258.775,258.965,5.682,569.7,10
259.98,260.17,5.711,584.3,10
263.83,264.02,5.868,575,10
268.125,268.315,6.026,564,10
269.225,269.415,6.058,581,10
271.625,271.815,6.163,576,10
275.825,276.015,6.318,577,10
278.025,278.215,6.397,580,10
279.78,279.97,6.47,587.7,10
283.595,283.785,6.622,607,10
285.725,285.915,6.694,595.3,10
287.995,288.185,6.783,603.3,10
291.33,291.52,6.922,605.3,10
