,Composite CO2 record (0-800 kyr BP),Unnamed: 1
0,0-22 kyr BP:,Dome C (Monnin et al. 2001) measured at University of Bern
1,22-393 kyr BP:,Vostok (Petit et al. 1999; Pepin et al. 2001; Raynaud et al. 2005) measured at LGGE in Grenoble
2,393-416 kyr BP:,Dome C (Siegenthaler et al. 2005) measured at LGGE in Grenoble
3,416-664 kyr BP:,Dome C (Siegenthaler et al. 2005)  measured at University of Bern
4,664-800 kyr BP:,Dome C (Luethi et al. (sub)) measured at University of Bern
5,EDC3_gas_a (yr),CO2 (ppmv)
6,137,280.4
7,268,274.9
8,279,277.9
9,395,279.1
10,404,281.9
11,485,277.7
12,559,281.1
13,672,282.2
14,754,280.1
15,877,278.4
16,950,276.6
17,1060,279.1
18,1153,277.7
19,1233,278.7
20,1350,277.4
21,1453,279.2
22,1552,280
23,1638,278.9
24,1733,278.7
25,1812,278
26,1931,276.9
27,2057,276.7
28,2128,276.7
29,2212,277.6
30,2334,277.9
31,2433,273.9
32,2536,278.9
33,2604,275.3
34,2728,274.7
35,2806,276.3
36,2902,274.6
37,3053,276.3
38,3116,273.1
39,3215,274
40,3336,275
41,3453,273.4
42,3523,273
43,3622,271.5
44,3721,275.4
45,3790,274.9
46,3910,271.7
47,4004,271.6
48,4096,272.8
49,4161,271.5
50,4324,271.1
51,4374,269.1
52,4480,269.8
53,4573,271.5
54,4703,270.7
55,4766,269.3
56,4874,268.6
57,5004,269.8
58,5094,267.6
59,5160,265.3
60,5274,265.2
61,5370,267.6
62,5476,265.9
63,5562,265.5
64,5657,260.7
65,5716,266.7
66,5855,265.5
67,5998,263.2
68,6039,262.7
69,6131,261.2
70,6263,261.1
71,6354,259.4
72,6434,262.1
73,6545,262.9
74,6617,258.1
75,6713,257.6
76,6838,262.3
77,6941,263
78,7028,260.7
79,7112,258.4
80,7234,260.1
81,7320,260.4
82,7413,259.7
83,7507,259.2
84,7590,260.8
85,7691,259.6
86,7781,259.3
87,7876,258.3
88,7990,261.3
89,8050,260.7
90,8181,261.8
91,8281,259
92,8387,260.9
93,8477,260.4
94,8579,259.3
95,8653,262
96,8784,263.7
97,8869,263.8
98,8973,265.2
99,9092,260.6
100,9140,260.9
101,9232,263
102,9317,263.8
103,9536,264.4
104,9597,264.2
105,9721,264
106,9807,263.4
107,9909,265.7
108,9983,264.9
109,10088,267.5
110,10209,266.9
111,10294,266
112,10417,265.1
113,10527,267.6
114,10621,264.8
115,10744,264.8
116,10805,265
117,10827,265.3
118,10895,264.4
119,10933,264.1
120,11014,264.2
121,11087,264.5
122,11136,264
123,11201,263
124,11236,265.2
125,11278,258.8
126,11338,260.8
127,11392,255.4
128,11436,253.9
129,11469,253.8
130,11580,250.7
131,11635,249.7
132,11676,251.1
133,11727,250.7
134,11819,245.3
135,11896,245.3
136,11958,246.6
137,12050,243.2
138,12122,240.3
139,12371,237.5
140,12496,237.6
141,12642,234.2
142,12760,238.3
143,12942,237.3
144,13090,237.9
145,13241,237.6
146,13440,236.4
147,13542,239.2
148,13653,238.6
149,13804,238.6
150,13948,239.1
151,14303,228.5
152,14550,228.4
153,14725,226.1
154,14890,225.2
155,15012,224.5
156,15233,222
157,15438,221
158,15570,220.9
159,15742,219.4
160,15886,214
161,16073,207.5
162,16260,207.7
163,16452,202.9
164,16659,200.8
165,16870,195.2
166,17111,193.9
167,17375,191
168,17565,188.5
169,17809,188.5
170,17943,189.2
171,18285,187
172,18541,188.6
173,18828,189.4
174,18868,192.3
175,18921,188.3
176,19347,188.7
177,19509,188.8
178,19748,190
179,19988,188
180,20168,188.2
181,20197,195
182,20502,187.8
183,20748,186.9
184,21011,186.5
185,21257,184.7
186,21507,186.1
187,21854,185.7
188,22015,184.4
189,22827,189.2
190,25994,191.6
191,29063,188.5
192,30020,191.7
193,35009,205.3
194,37471,209.1
195,43500,209.1
196,47336,189.3
197,48854,188.4
198,49690,210.1
199,50663,215.7
200,52382,190.4
201,57088,221.7
202,57657,210.4
203,62859,195.3
204,64939,191.4
205,65939,194.9
206,71049,227.3
207,73227,229.1
208,77150,217.1
209,78183,221.7
210,80614,230.9
211,82417,241.1
212,83333,236.4
213,84016,228
214,85020,214.2
215,86181,217
216,87917,208
217,90357,224.2
218,91249,228.3
219,94353,232
220,99849,225.8
221,100837,230.8
222,101749,236.9
223,103465,228.1
224,104704,236.9
225,105636,230.6
226,107579,238.2
227,108153,245.6
228,109804,251.2
229,111862,256.7
230,113262,266.3
231,114096,261.4
232,114601,274.5
233,115118,273.2
234,116501,262.5
235,117750,267.6
236,118649,273.7
237,119672,271.9
238,120382,265.2
239,121017,277.6
240,122344,272.1
241,123070,276.4
242,124213,268.7
243,124257,266.6
244,124789,266.3
245,125081,279.7
246,125262,273
247,125434,277.1
248,126347,273.7
249,126598,267.1
250,126886,262.5
251,127132,262.6
252,127622,275.3
253,127907,275.6
254,128344,274
255,128372,287.1
256,128609,286.8
257,128866,282.6
258,129146,264.1
259,129340,263.4
260,129652,257.9
261,129736,259
262,131329,245
263,131455,240.4
264,131728,228.9
265,132492,223.5
266,133069,223.9
267,133105,220.3
268,133427,210.6
269,134123,208.9
270,134287,203.7
271,134960,204.5
272,135114,200.4
273,135207,198
274,135603,198
275,135883,201.7
276,136011,200.7
277,136251,202.4
278,136567,195.8
279,136655,201.1
280,137293,194.3
281,137633,193.4
282,137982,194.2
283,138185,190.2
284,139275,192.3
285,139617,196.5
286,140899,195.6
287,140960,196.4
288,142058,190.4
289,145363,196.9
290,148831,203
291,149803,191.9
292,149921,188.9
293,151423,200.6
294,154480,189
295,155395,185.5
296,155813,187.5
297,159562,204.3
298,159943,196.5
299,161679,191.6
300,162228,190.1
301,163024,186.7
302,163698,183.8
303,164439,196.6
304,167183,197.8
305,169492,197.7
306,171351,196
307,172434,190.3
308,173135,189.4
309,173394,190.1
310,175306,207.7
311,177139,213.2
312,178179,217.7
313,179117,198.1
314,180068,199.7
315,182046,203.4
316,184685,210.7
317,186697,231.3
318,188436,231.4
319,189076,220.3
320,190352,218
321,192910,226.5
322,193481,220
323,195017,226.4
324,195673,241.2
325,196179,242.6
326,198972,250.9
327,199918,239.1
328,201163,247.6
329,202413,244.4
330,202874,231.9
331,203317,232.2
332,203837,228.6
333,204480,226.3
334,204908,229.4
335,205362,231.4
336,205952,238.1
337,206144,237.2
338,206810,230
339,207120,240.5
340,207544,242.2
341,208064,244.6
342,208254,243.9
343,208803,247.2
344,208995,252
345,209432,246.9
346,209817,239.5
347,210154,257.4
348,210813,243.4
349,211858,251.2
350,212716,241.4
351,213270,240.3
352,213536,242.6
353,213984,247.5
354,214459,251.7
355,214794,251.1
356,215382,245.3
357,216352,240.5
358,218361,214.1
359,219116,216.1
360,220058,207.1
361,220739,208.8
362,222030,205.6
363,224269,203.3
364,224923,215.7
365,225909,235.5
366,226711,234.5
367,227027,233.1
368,227776,224.5
369,229423,232.4
370,230422,233.9
371,231066,241.6
372,234817,245.2
373,235480,252.1
374,236114,241.4
375,236734,247.4
376,237294,243.1
377,237868,239.1
378,238558,245.6
379,239013,245.8
380,239477,247.4
381,239973,252.8
382,240945,259.7
383,241366,263.2
384,242007,279
385,242346,280.2
386,243071,263.7
387,243429,252.3
388,243856,249.9
389,244347,236.7
390,244864,230.4
391,245441,219.4
392,247681,214.7
393,250133,200.2
394,251005,213.9
395,251864,195.4
396,252739,196.7
397,253636,195.4
398,255498,199
399,256309,201.9
400,257100,204
401,258661,203.9
402,260353,209.6
403,260916,205.7
404,262092,208.9
405,262930,214.6
406,264509,228.1
407,265653,199.9
408,266326,211.7
409,267442,188.7
410,268181,187.2
411,269154,194.2
412,270222,198.8
413,271256,184.7
414,272311,190.4
415,273310,193.9
416,274321,194.1
417,275350,198.4
418,276326,193.2
419,277361,202.2
420,278350,204.5
421,279320,211
422,280269,215.3
423,281758,223.7
424,283785,231.3
425,285380,228
426,286128,226.4
427,287036,231.4
428,287538,230.4
429,288233,231
430,290153,234.9
431,290730,220.4
432,291367,217.1
433,292405,207.6
434,293057,206
435,293779,206.7
436,294568,212.7
437,295930,213.1
438,297921,217.1
439,298741,224.4
440,299621,231
441,300472,236.1
442,301402,239
443,302280,236
444,303226,240.2
445,304232,240.7
446,304901,250.2
447,305655,248.6
