Gas age,CH4 [ppbv]
0,907
0.148,761.7
0.212,682.7
0.28,675
0.4,684.3
0.513,644.3
0.572,685
0.677,666.7
0.768,679.5
0.775,643.3
0.874,647
0.951,623.7
1.029,634.7
1.116,643.7
1.201,628.7
1.305,620
1.402,631.3
1.489,631.7
1.571,623.3
1.673,608
1.734,613
1.855,613.3
1.982,603.7
2.069,608.7
2.134,601.7
2.262,597
2.366,591.7
2.456,596.5
2.552,591.7
2.657,580
2.741,578.3
2.804,577
2.977,572.7
3.04,576
3.133,567.7
3.23,581.3
3.363,572.7
3.531,577.7
3.621,578
3.626,580.7
3.714,569
3.842,569.3
3.946,567.7
4.036,575.7
4.04,563
4.097,570.3
4.249,577.3
4.257,567.7
4.331,569.7
4.447,561.7
4.526,561.7
4.667,563
4.737,563.3
4.843,567.7
4.984,561
5.051,563
5.17,558.3
5.282,553.7
5.387,565
5.47,566
5.58,568.3
5.682,569.7
5.711,584.3
5.868,575
6.026,564
6.058,581
6.163,576
6.318,577
6.397,580
6.47,587.7
6.622,607
6.694,595.3
6.783,603.3
6.922,605.3
7.045,607
7.158,609.7
7.258,607.3
7.375,618.3
7.489,601.7
7.6,611.7
7.716,609.7
7.731,617
7.751,621
7.804,622.7
7.928,623
7.961,623.3
7.986,617.7
8.041,610.7
8.096,613.7
8.121,620
8.148,597.7
8.173,612.3
8.191,589
8.211,614
8.25,624.3
8.298,632.3
8.327,605.7
8.374,632.7
8.393,651
8.412,640.3
8.476,641.9
8.488,640.7
8.61,649.3
8.702,659.7
8.802,653.7
8.904,657.3
9.016,659
9.14,657.5
9.241,657.3
9.347,670
9.48,664.7
9.545,665
9.615,663.3
9.739,673.7
9.946,682.3
10.024,683.3
10.133,676.3
10.24,682.3
10.298,685
10.388,678
10.514,698
10.613,678
10.682,688
10.824,661.3
10.935,652
11.038,666
11.119,680.7
11.241,673.3
11.342,703
11.484,633.3
11.558,654.3
11.631,664.7
11.765,559
11.865,469
12.085,467.7
12.188,477.3
12.294,482.7
12.411,462.3
12.545,466.7
12.849,542
12.994,627
13.116,643.3
13.253,646
13.4,661.7
13.571,653.3
13.727,645.7
13.89,618.7
13.937,613
14.089,630
14.196,611.7
14.353,578.3
14.671,464.7
14.868,461
15.035,459.3
15.175,473.3
15.274,475.7
15.491,451
15.635,451.7
15.786,456
