Depth,Gas Age,[CH4],,
91.48,62.934419,853.9295888,,
91.53,63.15822736,856.3304323,,
91.58,63.38203572,853.4019259,,
91.63,63.60584408,864.4486961,,
91.73,64.0534608,850.9573289,,
93.32,71.17056662,830.9973325,,
93.38,71.43913665,847.9777696,,
93.44,71.70770668,839.9362682,,
93.5,71.97627671,835.1128033,,
93.6,72.42389343,838.1431572,,
95.045,78.85687647,838.8873882,,
95.095,79.04170867,821.5953727,,
95.145,79.22654087,820.3762243,,
95.145,79.22654087,821.2891537,,
95.145,79.22654087,827.0954522,,
101.16,102.0559871,774.9020231,,
103.1,110.2211121,771.5571924,,
103.16,110.4736417,756.6812862,,
128.9,221.521997,697.2050726,,
128.96,221.7783604,705.0775218,,
129,221.9492693,711.1176141,,
129.06,222.2056327,702.9800106,,
129.12,222.461996,704.4757916,,
131.6,233.5107766,701.8761264,,
131.65,233.7385511,699.4862222,,
131.7,233.9663256,692.5764867,,
131.73,234.1029903,708.6724952,,
131.75,234.1941001,717.1113909,,
131.83,234.5585393,690.3746492,,
131.88,234.7863138,698.2581248,,
182.76,460.5785156,674.9480097,,
182.81,460.8071792,672.6780769,,
182.86,461.0358427,676.4090132,,
182.91,461.2645062,677.8024656,,
182.96,461.4931698,679.7869348,,
195.53,516.064816,686.3967232,,
195.6,516.3632758,684.0533136,,
203.04,548.4581886,686.0152249,,
203.1,548.7213712,688.3001602,,
203.16,548.9845538,684.7041109,,
203.22,549.2477364,683.9130392,,
207.2,566.9723988,687.2129567,,
207.25,567.1977831,682.9721859,,
207.3,567.4231675,680.180837,,
207.68,569.1360887,705.9149255,,
207.73,569.361473,694.5774514,,
207.78,569.5868574,696.918485,,
217.8,613.7525734,676.1323553,,
217.86,613.9853079,680.9321728,,
217.92,614.2180424,685.5580614,,
217.96,614.3731987,690.43534,,
218.02,614.6059332,693.054308,,
218.64,617.010856,694.4728954,,
218.64,617.010856,695.9108574,,
237.49,699.2227783,675.7846455,,
237.54,699.433172,670.8070858,,
237.59,699.6435657,671.0180944,,
237.64,699.8539594,666.9170109,,
247.87,742.5453389,691.82772,,
247.92,742.7419687,690.2640789,,
247.97,742.9385985,688.3441724,,
248.02,743.1352283,696.3221027,,
250.45,752.9276728,694.3609606,,
250.5,753.150551,691.1563505,,
254.455,770.7802135,706.5697211,,
254.505,771.0030916,696.2825909,,
254.555,771.2259698,713.4804563,,
254.605,771.4488479,704.2192122,,
295.42,946.6895899,662.7106547,,
295.47,946.9013217,663.7227347,,
295.52,947.1130534,661.785773,,
398.945,1383.644693,662.9762836,,
401.295,1393.62703,645.0211304,,
403.295,1402.287148,640.3360592,,
405.295,1410.895636,652.9383905,,
407.295,1419.205714,655.0916597,,
409.295,1427.515793,635.0226898,,
411.295,1435.891816,638.1760125,,
413.06,1443.315337,657.0839434,,
417.295,1461.720023,631.3115415,,
419.295,1470.648232,624.4921677,,
421.295,1479.544594,633.065822,,
423.19,1487.957469,633.1871558,,
424.95,1495.77101,636.1815596,,
427.3,1507.34258,636.3070074,,
429.3,1517.211792,640.5302698,,
431.4,1526.722582,632.1033125,,
433.29,1534.898946,624.7009238,,
435.3,1543.70465,636.0067878,,
437.29,1553.044662,632.2230421,,
439.29,1562.431609,632.8040729,,
441.295,1572.172453,650.0893699,,
443.295,1582.069715,640.7474697,,
445.295,1591.760507,638.6040836,,
445.295,1591.760507,643.4550968,,
447.29,1600.236722,640.5094158,,
451.295,1617.693638,647.402967,,
453.29,1626.848855,634.0912476,,
