,nature_year,nature_co2_ppmv
0,137,280.4
1,268,274.9
2,279,277.9
3,395,279.1
4,404,281.9
5,485,277.7
6,559,281.1
7,672,282.2
8,754,280.1
9,877,278.4
10,950,276.6
11,1060,279.1
12,1153,277.7
13,1233,278.7
14,1350,277.4
15,1453,279.2
16,1552,280.0
17,1638,278.9
18,1733,278.7
19,1812,278.0
20,1931,276.9
21,2057,276.7
22,2128,276.7
23,2212,277.6
24,2334,277.9
25,2433,273.9
26,2536,278.9
27,2604,275.3
28,2728,274.7
29,2806,276.3
30,2902,274.6
31,3053,276.3
32,3116,273.1
33,3215,274.0
34,3336,275.0
35,3453,273.4
36,3523,273.0
37,3622,271.5
38,3721,275.4
39,3790,274.9
40,3910,271.7
41,4004,271.6
42,4096,272.8
43,4161,271.5
44,4324,271.1
45,4374,269.1
46,4480,269.8
47,4573,271.5
48,4703,270.7
49,4766,269.3
50,4874,268.6
51,5004,269.8
52,5094,267.6
53,5160,265.3
54,5274,265.2
55,5370,267.6
56,5476,265.9
57,5562,265.5
58,5657,260.7
59,5716,266.7
60,5855,265.5
61,5998,263.2
62,6039,262.7
63,6131,261.2
64,6263,261.1
65,6354,259.4
66,6434,262.1
67,6545,262.9
68,6617,258.1
69,6713,257.6
70,6838,262.3
71,6941,263.0
72,7028,260.7
73,7112,258.4
74,7234,260.1
75,7320,260.4
76,7413,259.7
77,7507,259.2
78,7590,260.8
79,7691,259.6
80,7781,259.3
81,7876,258.3
82,7990,261.3
83,8050,260.7
84,8181,261.8
85,8281,259.0
86,8387,260.9
87,8477,260.4
88,8579,259.3
89,8653,262.0
90,8784,263.7
91,8869,263.8
92,8973,265.2
93,9092,260.6
94,9140,260.9
95,9232,263.0
96,9317,263.8
97,9536,264.4
98,9597,264.2
99,9721,264.0
100,9807,263.4
101,9909,265.7
102,9983,264.9
103,10088,267.5
104,10209,266.9
105,10294,266.0
106,10417,265.1
107,10527,267.6
108,10621,264.8
109,10744,264.8
110,10805,265.0
111,10827,265.3
112,10895,264.4
113,10933,264.1
114,11014,264.2
115,11087,264.5
116,11136,264.0
117,11201,263.0
118,11236,265.2
119,11278,258.8
120,11338,260.8
121,11392,255.4
122,11436,253.9
123,11469,253.8
124,11580,250.7
125,11635,249.7
126,11676,251.1
127,11727,250.7
128,11819,245.3
129,11896,245.3
130,11958,246.6
131,12050,243.2
132,12122,240.3
133,12371,237.5
134,12496,237.6
135,12642,234.2
136,12760,238.3
137,12942,237.3
138,13090,237.9
139,13241,237.6
140,13440,236.4
141,13542,239.2
142,13653,238.6
143,13804,238.6
144,13948,239.1
145,14303,228.5
146,14550,228.4
147,14725,226.1
148,14890,225.2
149,15012,224.5
150,15233,222.0
151,15438,221.0
152,15570,220.9
153,15742,219.4
154,15886,214.0
155,16073,207.5
156,16260,207.7
157,16452,202.9
158,16659,200.8
159,16870,195.2
160,17111,193.9
161,17375,191.0
162,17565,188.5
163,17809,188.5
164,17943,189.2
