time,siextentn_cglo,siextentn_oras,siextentn_foam,siextentn_glor,siextentn_mean,siextentn_std
15/01/1993,14713839,14912160,15620701,15004174,15062718,338805.5
15/02/1993,15333133,15543784,16259209,15682573,15704674,343484.28
15/03/1993,15273059,15583662,16315246,15803281,15743812,379911.12
15/04/1993,14173511,14839632,15698920,15152621,14966171,551363.5
15/05/1993,12733168,13219707,13948280,13542559,13360929,444971.4
15/06/1993,11010082,11634946,12349279,11977977,11743071,492857.2
15/07/1993,7951477.5,9026253,10449953,9553459,9245286,903895.6
15/08/1993,6359816.5,6871978.5,8312853.5,7324393,7217260,718719.56
15/09/1993,6123995.5,6321910.5,7320703.5,6409508.5,6544029.5,460185.78
15/10/1993,8878016,9004421,9912845,9040630,9208978,410837.34
15/11/1993,11415816,11872951,12455959,11844621,11897337,369896.84
15/12/1993,13075396,13351900,14036031,13314614,13444486,357628.22
15/01/1994,14491372,14726542,15314118,14638831,14792716,312541.12
15/02/1994,15141969,15407325,16056277,15435392,15510241,335400.38
15/03/1994,14937796,15376044,16039939,15474965,15457186,392513.4
15/04/1994,13776989,14650663,15350461,14924366,14675620,575640
15/05/1994,12666429,13459449,14206542,13693793,13506553,555218.56
15/06/1994,11287927,11787917,12485143,12099049,11915009,438265.8
15/07/1994,8771788,9670223,10831908,10194672,9867148,754424.75
15/08/1994,6669755.5,7330758.5,8548128,7711269,7564978,679019
15/09/1994,6675632.5,7041247,7938219.5,7091600,7186675,462647.84
15/10/1994,9113924,9367960,10088998,9210400,9445320,382529.97
15/11/1994,11111248,11291746,11904848,11267648,11393872,303040.84
15/12/1994,13259800,13484010,14114715,13374326,13558212,330932.5
15/01/1995,14205699,14528864,15150871,14472942,14589594,346303
15/02/1995,14774581,15149696,15774959,15109279,15202129,361352.25
15/03/1995,14557849,15090121,15768236,15201543,15154438,429831.94
15/04/1995,13516852,14350813,15203586,14615186,14421608,606744.9
15/05/1995,12179372,12899986,13606110,13125866,12952834,514233.9
15/06/1995,10483356,11093290,11992368,11481648,11262666,551459.56
15/07/1995,7706132,8443784,9834802,9149728,8783612,793014.44
15/08/1995,5881345.5,6278853.5,7538842.5,6714230,6603318,615229.44
15/09/1995,5643965.5,5918758.5,6793970.5,6112367.5,6117265.5,424667.97
15/10/1995,8319531.5,8870699,9637024,8692382,8879909,480233.62
